LOB,age,cdf
comauto,108, 1.09607 
comauto,96, 1.13010 
comauto,84, 1.17713 
comauto,72, 1.24289 
comauto,60, 1.33632 
comauto,48, 1.47191 
comauto,36, 1.67433 
comauto,24, 1.98818 
comauto,12, 2.50000 
medmal,108, 1.01862 
medmal,96, 1.03123 
medmal,84, 1.05259 
medmal,72, 1.08918 
medmal,60, 1.15301 
medmal,48, 1.26782 
medmal,36, 1.48513 
medmal,24, 1.93318 
medmal,12, 3.00000 
othliab,108, 1.09844 
othliab,96, 1.12452 
othliab,84, 1.15801 
othliab,72, 1.20126 
othliab,60, 1.25762 
othliab,48, 1.33179 
othliab,36, 1.43069 
othliab,24, 1.56470 
othliab,12, 1.75000 
ppauto,108, 1.14574 
ppauto,96, 1.18538 
ppauto,84, 1.23687 
ppauto,72, 1.30438 
ppauto,60, 1.39397 
ppauto,48, 1.51467 
ppauto,36, 1.68034 
ppauto,24, 1.91314 
ppauto,12, 2.25000 
prodliab,108, 1.02740 
prodliab,96, 1.04608 
prodliab,84, 1.07798 
prodliab,72, 1.13332 
prodliab,60, 1.23193 
prodliab,48, 1.41572 
prodliab,36, 1.78496 
prodliab,24, 2.62653 
prodliab,12, 5.00000 
wkcomp,108, 1.00443 
wkcomp,96, 1.00888 
wkcomp,84, 1.01784 
wkcomp,72, 1.03599 
wkcomp,60, 1.07327 
wkcomp,48, 1.15191 
wkcomp,36, 1.32691 
wkcomp,24, 1.76068 
wkcomp,12, 3.10000 
